mesh 2,mesh 2,mesh 2,nuclide,score,mean,std. dev.
x,y,z,,,,
130,1,1,total,heating-local,0.0,0.0
130,1,1,total,absorption,9.181484510355125e-09,6.7730612801164436e-09
131,1,1,total,flux,4.830289762270511e-06,2.0200706800145553e-06
131,1,1,total,"(n,Xt)",0.0,0.0
131,1,1,total,heating-local,0.0,0.0
131,1,1,total,absorption,9.181355526393261e-09,6.772964876673378e-09
132,1,1,total,flux,4.814672069993933e-06,2.010976179874823e-06
132,1,1,total,"(n,Xt)",0.0,0.0
132,1,1,total,heating-local,0.0,0.0
132,1,1,total,absorption,9.181229479142677e-09,6.772870668197579e-09
133,1,1,total,flux,4.017076318887615e-06,1.8921547295979609e-06
133,1,1,total,"(n,Xt)",0.0,0.0
133,1,1,total,heating-local,0.0,0.0
133,1,1,total,absorption,9.181106280086279e-09,6.772778588527487e-09
134,1,1,total,flux,1.4358011492113967e-06,9.987114204916742e-07
134,1,1,total,"(n,Xt)",0.0,0.0
134,1,1,total,heating-local,0.0,0.0
134,1,1,total,absorption,3.784424973644111e-09,2.7615538711569807e-09
135,1,1,total,flux,1.1073766623285052e-06,1.1073766623285052e-06
135,1,1,total,"(n,Xt)",0.0,0.0
135,1,1,total,heating-local,0.0,0.0
135,1,1,total,absorption,3.2903859743743737e-09,3.2903859743743737e-09
136,1,1,total,flux,2.6132816384507436e-06,2.6132816384507436e-06
136,1,1,total,"(n,Xt)",0.0,0.0
136,1,1,total,heating-local,0.0,0.0
136,1,1,total,absorption,1.2831176419546355e-08,1.2831176419546355e-08
137,1,1,total,flux,2.602760678091187e-06,2.602760678091187e-06
137,1,1,total,"(n,Xt)",0.0,0.0
137,1,1,total,heating-local,0.0,0.0
137,1,1,total,absorption,1.276456356723932e-08,1.276456356723932e-08
138,1,1,total,flux,2.5926653495623953e-06,2.5926653495623953e-06
138,1,1,total,"(n,Xt)",0.0,0.0
138,1,1,total,heating-local,0.0,0.0
138,1,1,total,absorption,1.2700646386990173e-08,1.2700646386990173e-08
139,1,1,total,flux,2.582970517467018e-06,2.5829705174670186e-06
139,1,1,total,"(n,Xt)",0.0,0.0
139,1,1,total,heating-local,0.0,0.0
139,1,1,total,absorption,1.26392656592409e-08,1.26392656592409e-08
